id,cell_type,classification_system,pt_supervoxel_id,pt_root_id
64091,23P,excitatory_neuron,76781165381556638,864691136389487120
554000,oligo,nonneuron,107672976228814689,864691135809479884
610760,23P,excitatory_neuron,113302543811243329,864691136272985790
86900,6P-IT,excitatory_neuron,77150326209472205,864691135937942788
294141,23P,excitatory_neuron,90786744228249909,864691136423892015
434466,6P-CT,excitatory_neuron,100438120394667456,864691135947475297
493456,5P-IT,excitatory_neuron,103246410597979083,864691135741138027
553741,NGC,inhibitory_neuron,109148657869666207,864691135572155373
465514,microglia,nonneuron,102900063495707978,864691135462957630
594490,6P-IT,excitatory_neuron,109939206394050118,864691136057078488
363356,4P,excitatory_neuron,94728562535392479,864691136489809170
672934,astrocyte,nonneuron,115565476381598809,864691136951600095
553621,microglia,nonneuron,108023513809739079,864691135859142248
325462,23P,excitatory_neuron,92965769847367994,864691135416382650
268075,6P-CT,excitatory_neuron,87489720837615560,864691135759104846
325780,23P,excitatory_neuron,92262014021531469,864691135700176930
271870,6P-IT,excitatory_neuron,88617064927319790,864691135183269634
222923,23P,excitatory_neuron,87194777715651939,864691136067706520
168972,6P-IT,excitatory_neuron,82565695719679278,864691135740183659
306721,6P-CT,excitatory_neuron,91503626010729006,864691136208997052
454402,OPC,nonneuron,102956620631629892,864691136031779771
76543,5P-IT,excitatory_neuron,77281305532152048,864691135660819440
126110,oligo,nonneuron,78271965307140155,864691135991509953
357886,23P,excitatory_neuron,94792471716178222,864691137197877569
468553,6P-IT,excitatory_neuron,101143938207271815,864691135874759310
298070,4P,excitatory_neuron,91704423919157658,864691135118351837
427951,oligo,nonneuron,100077686269186344,864691135583210861
256546,23P,excitatory_neuron,89095077338779923,864691136288604355
307617,6P-IT,excitatory_neuron,91571865323611898,864691135864385662
493041,astrocyte,nonneuron,105004529355062752,864691135925500430
189940,BPC,inhibitory_neuron,82764638604927956,864691135122333479
174142,6P-IT,excitatory_neuron,81654956629031629,864691135208582265
491606,MC,inhibitory_neuron,105073455594267204,864691135609934343
394505,4P,excitatory_neuron,98457006264352221,864691135341748145
533788,6P-IT,excitatory_neuron,106491206112113447,864691136238259772
498977,6P-IT,excitatory_neuron,104308332269524634,864691135874331278
521782,4P,excitatory_neuron,106760655515747213,864691136966714830
621780,6P-IT,excitatory_neuron,113737056928623108,864691135687703008
305341,oligo,nonneuron,90867833948975312,864691135573408037
115690,5P-IT,excitatory_neuron,79743042877438486,864691135303192743
292110,23P,excitatory_neuron,91136182565763353,864691135582364525
707518,5P-ET,excitatory_neuron,118798796817079833,864691135762771510
558958,5P-IT,excitatory_neuron,107820172743573652,864691136090267447
328481,23P,excitatory_neuron,91910926818838204,864691135014181878
112847,4P,excitatory_neuron,80303038430082053,864691135941169012
428380,BC,inhibitory_neuron,100571573416716901,864691136725455357
324282,23P,excitatory_neuron,93594897394923826,864691135013422838
699864,4P,excitatory_neuron,117669254643550344,864691136723600381
357369,23P,excitatory_neuron,95004333326247121,864691135726727231
197937,5P-IT,excitatory_neuron,84810899671738634,864691135440885320
234452,MC,inhibitory_neuron,85870347039496675,864691135510161673
452727,23P,excitatory_neuron,101478189809047362,864691136486799890
494570,oligo,nonneuron,104444190473092520,864691135472006962
366457,4P,excitatory_neuron,95503993849486796,864691135655092418
596954,microglia,nonneuron,111699799724072394,864691136451478527
311831,6P-IT,excitatory_neuron,89676925550962270,864691135586773628
455049,4P,excitatory_neuron,101552405904622828,864691135408006601
580965,23P,excitatory_neuron,110836682693516640,864691135502837597
566065,OPC,nonneuron,107757225636006261,864691136444255619
265234,5P-IT,excitatory_neuron,89103117852958565,864691135387372629
369499,5P-NP,excitatory_neuron,96142465433877438,864691136090477367
618639,oligo,nonneuron,113803509333323141,864691136618705805
585554,4P,excitatory_neuron,111123448801347682,864691136334844083
486122,23P,excitatory_neuron,105137571000363341,864691135609826311
423901,23P,excitatory_neuron,99862182325475893,864691135988438019
594775,6P-CT,excitatory_neuron,109799156369028255,864691136966456014
556647,pericyte,nonneuron,107747742281181898,864691135531025650
362875,4P,excitatory_neuron,96136692997853688,864691135838015891
160313,4P,excitatory_neuron,82275906827296244,864691136443828867
376115,BPC,inhibitory_neuron,94107475971912566,864691134949977084
255662,astrocyte,nonneuron,88390908055365658,864691135104288589
420917,23P,excitatory_neuron,99156021385365992,864691135183168002
328987,23P,excitatory_neuron,93882901259163322,864691136176346630
621213,6P-IT,excitatory_neuron,112822056693264704,864691134965332767
152975,astrocyte,nonneuron,82267796855127077,864691136296696603
516224,OPC,nonneuron,106048516249717676,864691136105899993
453141,23P,excitatory_neuron,101267084113332247,864691136974073372
339605,6P-IT,excitatory_neuron,93823045722358738,864691135927184852
583276,astrocyte,nonneuron,111262468034071478,864691135490353255
307066,5P-ET,excitatory_neuron,91782902299435828,864691135356708303
203148,6P-CT,excitatory_neuron,83199014887070428,864691136723467517
171525,6P-IT,excitatory_neuron,81864825910841532,864691135776630701
41240,5P-IT,excitatory_neuron,74681579208949086,864691135490569959
561036,5P-ET,excitatory_neuron,107891091579477701,864691135565592855
459699,5P-IT,excitatory_neuron,100853873228492889,864691136125774886
328131,23P,excitatory_neuron,93037376079002473,864691135398633249
152419,astrocyte,nonneuron,81000954375244652,864691135385820501
41505,BC,inhibitory_neuron,76018860293463812,864691135589911051
371944,microglia,nonneuron,95793301973876858,864691136618479245
453502,23P,excitatory_neuron,102816569465829219,864691136005561992
494912,oligo,nonneuron,105005903610676227,864691136965834190
521261,23P,excitatory_neuron,106903385399268324,864691136536745378
608854,astrocyte,nonneuron,113440945307466307,864691135888983689
172458,6P-CT,excitatory_neuron,82567551883804170,864691135755650770
358802,23P,excitatory_neuron,95357001613436600,864691136673213831
397461,oligo,nonneuron,98108668108967903,864691135385304149
236829,6P-CT,excitatory_neuron,85451089981288097,864691135992363201
457800,4P,excitatory_neuron,102820555933426126,864691135394734325
458951,oligo,nonneuron,102540523394645992,864691135117825757
153897,23P,excitatory_neuron,82690491162209958,864691136209904828
344360,microglia,nonneuron,93123619424892256,864691136119062692
580749,23P,excitatory_neuron,111892900580825107,864691136371314824
585024,4P,excitatory_neuron,109928829216504207,864691137197935937
465363,6P-IT,excitatory_neuron,102829488525855722,864691135571528173
612388,23P,excitatory_neuron,113445480054176757,864691135993333923
292503,23P,excitatory_neuron,91277126547951522,864691135715708442
491723,4P,excitatory_neuron,103314580721410181,864691135808102173
358191,23P,excitatory_neuron,96199915654532757,864691136092811700
306959,6P-IT,excitatory_neuron,89672046199544062,864691135465583685
273608,6P-IT,excitatory_neuron,89392632539081649,864691135214316928
397216,4P,excitatory_neuron,96489637035669695,864691135397444129
636696,23P,excitatory_neuron,115057090095146574,864691135257065903
404368,astrocyte,nonneuron,98115127739695285,864691135517611987
303461,5P-IT,excitatory_neuron,91708479374719548,864691135739616625
453306,23P,excitatory_neuron,102816088228008299,864691135233986905
292680,23P,excitatory_neuron,91064577474794079,864691135337004777
306941,6P-CT,excitatory_neuron,91572826724872077,864691136389012087
201254,oligo,nonneuron,84182321879630610,864691135758527822
116520,4P,excitatory_neuron,79601000256130232,864691136483345964
269139,5P-IT,excitatory_neuron,89529727626889876,864691136619160973
309510,oligo,nonneuron,90800007959310802,864691135291728822
259000,astrocyte,nonneuron,88603389885397179,864691135764670262
195633,4P,excitatory_neuron,85018913393578758,864691135886156912
156846,23P,excitatory_neuron,80654469767219277,864691136389119607
464804,5P-ET,excitatory_neuron,102757746868419678,864691135490470503
557253,astrocyte,nonneuron,107816462496317915,864691135564715607
154826,MC,inhibitory_neuron,80651995999958818,864691136482887724
295115,23P,excitatory_neuron,90503208606614477,864691135576062238
426059,4P,excitatory_neuron,100709081090006926,864691135700951586
555026,4P,excitatory_neuron,109574580850690753,864691135726134847
466181,6P-CT,excitatory_neuron,101280827203219392,864691135388315009
368218,BC,inhibitory_neuron,94522748038587389,864691136240041532
623142,6P-IT,excitatory_neuron,113949399641699211,864691136483652140
498887,6P-IT,excitatory_neuron,103111926246419549,864691135210949312
466500,6P-CT,excitatory_neuron,102619688970219905,864691136451906047
617549,MC,inhibitory_neuron,112607583072048985,864691136812359795
261004,microglia,nonneuron,88607375547958245,864691135949046625
220675,NGC,inhibitory_neuron,86489096536876692,864691136330762391
717022,6P-IT,excitatory_neuron,117748831596394923,864691135865652700
