pre_pt_root_id,post_pt_root_id,n
864691135106468685,864691136725868541,8
864691135106468685,864691136741444444,3
864691135106718029,864691136743424348,1
864691135113138073,864691136725356541,3
864691135113142425,864691136758676598,1
864691135113201305,864691136741532764,1
864691135113351833,864691136743364188,2
864691135113530265,864691136743402862,1
864691135113610905,864691136741182812,1
864691135113617817,864691136725773053,1
864691135113638297,864691136741182812,1
864691135113649561,864691136742800476,1
864691135113712537,864691136740460636,1
864691135113976985,864691136723598077,1
864691135114134169,864691136758865774,1
864691135114151065,864691136741497692,1
864691135114153881,864691136746178532,1
864691135114156953,864691136725356541,1
864691135114157721,864691136742921308,1
864691135114159257,864691136725391357,1
864691135114295961,864691136740888156,1
864691135114328985,864691136725773053,1
864691135114345113,864691136740460636,1
864691135114345113,864691136740924764,2
864691135114561945,864691136740886108,1
864691135114998425,864691136725773053,3
864691135115058329,864691136732973422,6
864691135115164057,864691136743296484,2
864691135115225753,864691136743296484,1
864691135115234969,864691136740402524,1
864691135115338137,864691136725868541,1
864691135115393433,864691136725356541,1
864691135115393433,864691136725773053,1
864691135115429529,864691136732833902,1
864691135117783773,864691136740402524,1
864691135117783773,864691136755547502,1
864691135117803741,864691136741221468,1
864691135117807837,864691136724066557,1
864691135117816029,864691136725356541,1
864691135117824733,864691136732833902,1
864691135117830877,864691136755547502,1
864691135117836509,864691136724382973,2
864691135117837789,864691136724334845,1
864691135118095325,864691136741444444,1
864691135118137309,864691136742047324,1
864691135118157277,864691136739030126,1
864691135118157277,864691136741221468,1
864691135118157277,864691136741533532,1
864691135118197725,864691136724121853,1
864691135118200029,864691136742438492,1
864691135118298333,864691136724382973,1
864691135118298333,864691136725134589,2
864691135118298333,864691136732973422,3
864691135118298333,864691136743424348,2
864691135118300637,864691136743343452,1
864691135118586589,864691136740402524,1
864691135118637277,864691136725391357,1
864691135118701789,864691136732973422,1
864691135118738653,864691136724630269,1
864691135118741725,864691136724121853,1
864691135118754781,864691136758865774,1
864691135118756317,864691136724121853,1
864691135118895069,864691136724880893,1
864691135118918109,864691136741465692,1
864691135119436765,864691136724327165,1
864691135119436765,864691136740402524,2
864691135119436765,864691136741991772,3
864691135119506909,864691136724511485,1
864691135119506909,864691136725134589,3
864691135119506909,864691136740562012,1
864691135119506909,864691136741531228,1
864691135119506909,864691136743424348,4
864691135119524829,864691136741991772,1
864691135119636189,864691136725878269,1
864691135119636189,864691136740402524,3
864691135119785949,864691136740440412,1
864691135119839453,864691136725868541,1
864691135119877085,864691136725773053,3
864691135119912413,864691136740891740,1
864691135119912413,864691136741182812,1
864691135119924189,864691136725773053,1
864691135122298663,864691136740798556,1
864691135122299431,864691136736141422,1
864691135122299431,864691136741455196,1
864691135122299431,864691136741756252,1
864691135122307623,864691136740886108,1
864691135122342183,864691136725356541,1
864691135122342183,864691136758865774,1
864691135122463527,864691136724441085,1
864691135122769191,864691136741353820,1
864691135122771239,864691136725773053,1
864691135122836519,864691136723596797,1
864691135122836519,864691136724630269,1
864691135123216167,864691136741530460,1
864691135123316263,864691136741221468,1
864691135123334183,864691136724334845,1
864691135123334183,864691136724443389,2
864691135123334695,864691136725391357,1
864691135123339047,864691136724121853,2
864691135123355431,864691136741221468,8
864691135123355431,864691136741533532,2
864691135123508775,864691136743296484,2
864691135123528487,864691136740924764,1
864691135123807271,864691136724121853,1
864691135123807271,864691136736141422,1
864691135123807271,864691136742047324,1
864691135123810599,864691136724441085,1
864691135123975463,864691136732833902,2
864691135123975463,864691136742800476,2
864691135124199463,864691136725773053,1
864691135124209447,864691136741323612,1
864691135124308007,864691136741465692,2
864691135124404519,864691136741444444,1
864691135124404519,864691136741465692,1
864691135124447271,864691136725773053,2
864691135124508967,864691136742047324,1
864691135124547111,864691136725773053,1
864691135124690471,864691136742921308,1
864691135132656800,864691136739030126,1
864691135132668576,864691136741323612,1
864691135132668832,864691136732973422,1
864691135132676768,864691136741756252,1
864691135132913312,864691136724121853,2
864691135132913312,864691136742047324,1
864691135132919968,864691136741465692,1
864691135133061536,864691136725773053,1
864691135133162400,864691136741530460,1
864691135133479584,864691136742248046,1
864691135133541024,864691136732263542,1
864691135133556128,864691136723598077,1
864691135133593248,864691136724121853,2
864691135133727392,864691136741223260,1
864691135133736864,864691136740886108,2
864691135133789344,864691136741465692,2
864691135133921184,864691136724624125,2
864691135134052512,864691136725868541,1
864691135134052512,864691136741444444,1
864691135134114976,864691136724472317,1
864691135134114976,864691136740835932,1
864691135134146720,864691136724334845,1
864691135134146720,864691136741539420,1
864691135134155168,864691136725878269,1
864691135134362784,864691136725868541,1
864691135134362784,864691136743296484,2
864691135134635680,864691136741182812,1
864691135134667545,864691136741530460,1
864691135134669593,864691136743424348,1
864691135134670617,864691136742047324,1
864691135134674457,864691136724542973,1
864691135134674969,864691136724542973,1
864691135134689305,864691136724542973,1
864691135134695328,864691136742047324,1
864691135134702361,864691136741532764,1
864691135134702617,864691136741497692,1
864691135134852256,864691136742921308,5
864691135134874784,864691136725356541,1
864691135134874784,864691136742921308,1
864691135134957472,864691136725356541,1
864691135134957472,864691136725773053,1
864691135134957472,864691136725878269,1
864691135134983328,864691136741182812,1
864691135135001760,864691136740562012,1
864691135135001760,864691136741539420,1
864691135135035673,864691136723596797,3
864691135135035929,864691136724360957,1
864691135135079449,864691136740416092,1
864691135135085728,864691136732833902,1
864691135135085728,864691136740433756,1
864691135135087520,864691136725868541,1
864691135135181984,864691136725889277,2
864691135135411993,864691136740562012,1
864691135135548185,864691136741353820,1
864691135135623705,864691136740841564,1
864691135135669273,864691136742047324,1
864691135135675417,864691136739030126,1
864691135135729177,864691136741444444,1
864691135135729177,864691136742800476,1
864691135135816473,864691136742047324,1
864691135136564505,864691136743424348,1
864691135137105177,864691136724382973,1
864691135137105177,864691136741774684,3
864691135137105177,864691136743169372,1
864691135137357081,864691136725878269,3
864691135137357081,864691136741323612,1
864691135137357081,864691136741991772,1
864691135137357081,864691136742921308,3
864691135155528804,864691136724542973,1
864691135155541092,864691136724575741,1
864691135155543652,864691136724334845,1
864691135155560804,864691136741530460,2
864691135155567204,864691136724630269,1
864691135155877220,864691136743402862,1
864691135155893348,864691136736141422,1
864691135156049252,864691136725868541,1
864691135156366948,864691136724540157,1
864691135156378980,864691136740924764,1
864691135156564836,864691136740886108,1
864691135156573796,864691136741465692,2
864691135156585060,864691136735818094,1
864691135156749924,864691136743364188,1
864691135156774756,864691136724624125,1
864691135157337444,864691136725889277,1
864691135157784932,864691136741444444,1
864691135157784932,864691136745644004,3
864691135158055012,864691136741182812,2
864691135158094436,864691136740886108,1
864691135162206765,864691136740798556,1
864691135162224429,864691136725356541,1
864691135162226733,864691136741532764,2
864691135162229293,864691136724121853,1
864691135162234413,864691136743402862,1
864691135162246957,864691136740433756,1
864691135162585389,864691136725773053,1
864691135162604589,864691136741223260,1
864691135162629677,864691136724334845,1
864691135162740269,864691136741476444,1
864691135162745901,864691136741182812,1
864691135162764845,864691136741539420,1
864691135162908461,864691136740924764,1
864691135163127597,864691136724540157,3
864691135163244333,864691136732833902,1
864691135163260717,864691136724441085,1
864691135163310637,864691136741533532,1
864691135163313965,864691136732833902,1
864691135163328813,864691136724687613,1
864691135163344429,864691136736141422,1
864691135163346221,864691136725773053,1
864691135163353389,864691136736141422,1
864691135163359789,864691136741539420,1
864691135163365421,864691136741353820,1
864691135163366445,864691136732833902,1
864691135163379245,864691136724360957,1
864691135163379245,864691136724441085,1
864691135163379245,864691136740924764,8
864691135163379245,864691136741497692,1
864691135163520557,864691136732833902,1
864691135163551021,864691136741530460,3
864691135163596845,864691136724624125,1
864691135163596845,864691136741497692,1
864691135163734317,864691136758865774,2
864691135163912237,864691136725889277,1
864691135163952685,864691136725889277,1
864691135164186413,864691136724540157,1
864691135164291373,864691136741221468,1
864691135164346157,864691136741532764,1
864691135164408621,864691136758676598,1
864691135164772653,864691136743169372,1
864691135164804909,864691136742921308,2
864691135164857133,864691136725134589,2
864691135165014829,864691136725773053,1
864691135165036077,864691136732833902,1
864691135181710338,864691136741533532,1
864691135181710338,864691136741756252,2
864691135181757186,864691136724542973,2
864691135181763074,864691136740798556,2
864691135181763074,864691136743364188,1
864691135181773314,864691136724121853,1
864691135181773314,864691136724687613,3
864691135181773314,864691136741756252,1
864691135181775874,864691136741533532,1
864691135181796866,864691136740798556,1
864691135181796866,864691136741323612,2
864691135181818882,864691136740891740,1
864691135181828354,864691136741497180,2
864691135181828866,864691136741465692,1
864691135182071810,864691136741497692,1
864691135182219010,864691136743424348,1
864691135182227970,864691136741285468,1
864691135182526978,864691136741221468,1
864691135182539778,864691136725356541,3
864691135182646018,864691136741221468,1
864691135182702594,864691136743424348,1
864691135182713602,864691136724121853,3
864691135182713602,864691136740924764,1
864691135182713602,864691136741497692,1
864691135182713602,864691136742047324,1
864691135182720258,864691136724540157,1
864691135182726402,864691136724121853,3
864691135182809858,864691136743402862,1
864691135182820098,864691136723596797,1
864691135182824194,864691136742071900,1
864691135182888450,864691136725878269,2
864691135183100418,864691136741530460,2
864691135183740930,864691136724334845,1
864691135183740930,864691136740886108,1
864691135183740930,864691136743424348,1
864691135183789314,864691136741430364,1
864691135183866114,864691136725889277,1
864691135183968514,864691136725878269,1
864691135183968514,864691136742921308,1
864691135183999490,864691136724540157,1
864691135184104194,864691136741531228,1
864691135184119810,864691136725773053,2
864691135184160002,864691136724327165,1
864691135184160002,864691136740406108,1
864691135184160002,864691136742438492,1
864691135184160002,864691136743169372,1
864691135194423338,864691136724630269,1
864691135194713642,864691136740841564,1
864691135194782250,864691136725773053,1
864691135194782250,864691136742921308,1
864691135194940202,864691136724066557,1
864691135194949162,864691136736141422,1
864691135194970154,864691136724121853,1
864691135194970154,864691136740924764,1
864691135195139626,864691136742047324,1
864691135195181354,864691136741476444,1
864691135195298090,864691136741530460,1
864691135195388458,864691136736141422,1
864691135195450666,864691136741533532,1
864691135195460394,864691136724121853,3
864691135195468586,864691136732833902,4
864691135195468586,864691136741476444,1
864691135195478058,864691136758676598,1
864691135195480874,864691136741530460,2
864691135195486250,864691136745644004,3
864691135195491370,864691136741465692,5
864691135195496746,864691136755312238,1
864691135195857450,864691136743296484,1
864691135196138026,864691136732833902,1
864691135196295978,864691136732973422,1
