arm,run,phase,after_trial,mbon_rate_hz,B0,R
D_abl,2,acq,10,78.05059523809524,77.64384920634922,1.0052386124065673
D_abl,2,acq,12,77.51488095238095,77.64384920634922,0.998338976554015
D_abl,2,ext,1,76.23511904761905,77.64384920634922,0.9818565131284737
D_abl,2,ext,2,76.57738095238095,77.64384920634922,0.9862646138120487
D_abl,2,ext,3,78.19940476190477,77.64384920634922,1.0071551779211654
D_abl,2,ext,4,76.17559523809524,77.64384920634922,0.9810898869226345
D_abl,2,ext,5,76.16071428571429,77.64384920634922,0.9808982303711749
D_abl,2,ext,6,77.06845238095238,77.64384920634922,0.9925892800102215
D_abl,2,ext,7,75.84821428571429,77.64384920634922,0.9768734427905194
D_abl,2,ext,8,77.33630952380952,77.64384920634922,0.9960390979364976
D_abl,3,baseline,0,78.02083333333334,77.10813492063492,1.0118366034094566
D_abl,3,baseline,1,75.98214285714286,77.10813492063492,0.9853972338372468
D_abl,3,baseline,2,77.32142857142857,77.10813492063492,1.0027661627532969
D_abl,3,acq,1,77.29166666666667,77.10813492063492,1.0023801865551625
D_abl,3,acq,2,76.68154761904762,77.10813492063492,0.9944676744934062
D_abl,3,acq,3,77.72321428571429,77.10813492063492,1.007976841428112
D_abl,3,acq,4,75.9375,77.10813492063492,0.984818269540045
D_abl,3,acq,6,79.04761904761905,77.10813492063492,1.025152782245095
D_abl,3,acq,8,77.58928571428572,77.10813492063492,1.006239948536507
D_abl,3,acq,10,77.67857142857143,77.10813492063492,1.0073978771309102
D_abl,3,acq,12,78.125,77.10813492063492,1.013187520102927
D_abl,3,ext,1,77.42559523809524,77.10813492063492,1.0041170794467675
D_abl,3,ext,2,78.67559523809524,77.10813492063492,1.0203280797684142
D_abl,3,ext,3,78.02083333333334,77.10813492063492,1.0118366034094566
D_abl,3,ext,4,77.66369047619048,77.10813492063492,1.007204889031843
D_abl,3,ext,5,77.41071428571429,77.10813492063492,1.0039240913477003
D_abl,3,ext,6,75.01488095238095,77.10813492063492,0.9728530073978771
D_abl,3,ext,7,78.4077380952381,77.10813492063492,1.0168542939852043
D_abl,3,ext,8,78.21428571428572,77.10813492063492,1.0143454486973305
S_abl,0,baseline,0,78.36309523809524,76.84027777777777,1.0198179588147958
S_abl,0,baseline,1,77.09821428571429,76.84027777777777,1.0033567878122782
S_abl,0,baseline,2,75.05952380952381,76.84027777777777,0.9768252533729262
S_abl,0,acq,1,68.94345238095238,76.84027777777777,0.8972306500548706
S_abl,0,acq,2,59.27083333333334,76.84027777777777,0.7713511070944421
S_abl,0,acq,3,54.22619047619048,76.84027777777777,0.7057000839196954
S_abl,0,acq,4,47.48511904761905,76.84027777777777,0.6179717255180428
S_abl,0,acq,6,41.398809523809526,76.84027777777777,0.5387644438706346
S_abl,0,acq,8,34.73214285714286,76.84027777777777,0.45200438964560075
S_abl,0,acq,10,33.11011904761905,76.84027777777777,0.43089535859531347
S_abl,0,acq,12,30.714285714285715,76.84027777777777,0.3997159641081919
S_abl,0,ext,1,30.818452380952383,76.84027777777777,0.40107158995545805
S_abl,0,ext,2,51.72619047619048,76.84027777777777,0.6731650635853077
S_abl,0,ext,3,62.18750000000001,76.84027777777777,0.8093086308178944
S_abl,0,ext,4,66.74107142857143,76.84027777777777,0.8685688464269576
S_abl,0,ext,5,70.46130952380952,76.84027777777777,0.9169840552578917
S_abl,0,ext,6,72.03869047619048,76.84027777777777,0.9375121038022078
S_abl,0,ext,7,73.66071428571429,76.84027777777777,0.9586211348524951
S_abl,0,ext,8,76.48809523809524,76.84027777777777,0.995416693564005
S_abl,1,baseline,0,78.49702380952381,77.97123015873017,1.0067434315159998
S_abl,1,baseline,1,77.72321428571429,77.97123015873017,0.9968191360773586
S_abl,1,baseline,2,77.69345238095238,77.97123015873017,0.9964374324066415
S_abl,1,acq,1,68.73511904761905,77.97123015873017,0.8815446275208346
S_abl,1,acq,2,62.03869047619048,77.97123015873017,0.7956613016095172
S_abl,1,acq,3,54.479166666666664,77.97123015873017,0.6987085692474075
S_abl,1,acq,4,49.18154761904763,77.97123015873017,0.6307653158597876
S_abl,1,acq,6,41.651785714285715,77.97123015873017,0.5341942871683949
S_abl,1,acq,8,35.654761904761905,77.97123015873017,0.4572809975189261
S_abl,1,acq,10,33.020833333333336,77.97123015873017,0.4235002226604746
S_abl,1,acq,12,30.208333333333332,77.97123015873017,0.3874292257777212
S_abl,1,ext,1,31.16071428571429,77.97123015873017,0.39964374324066415
S_abl,1,ext,2,50.55059523809524,77.97123015873017,0.648323684712768
S_abl,1,ext,3,60.55059523809524,77.97123015873017,0.7765761180736688
S_abl,1,ext,4,66.78571428571429,77.97123015873017,0.8565430370888734
S_abl,1,ext,5,70.46130952380952,77.97123015873017,0.9036834404224185
S_abl,1,ext,6,71.8154761904762,77.97123015873017,0.9210509574400408
S_abl,1,ext,7,76.25,77.97123015873017,0.9779248043768687
S_abl,1,ext,8,74.19642857142857,77.97123015873017,0.951587251097398
S_abl,2,baseline,0,75.69940476190477,76.64186507936508,0.9877030612905315
S_abl,2,baseline,1,76.25,76.64186507936508,0.994887062326063
S_abl,2,baseline,2,77.97619047619048,76.64186507936508,1.0174098763834056
S_abl,2,acq,1,67.42559523809524,76.64186507936508,0.8797488835674068
S_abl,2,acq,2,61.47321428571429,76.64186507936508,0.8020840075076048
S_abl,2,acq,3,52.32142857142858,76.64186507936508,0.6826742605656593
S_abl,2,acq,4,48.16964285714286,76.64186507936508,0.6285030095139474
S_abl,2,acq,6,41.36904761904762,76.64186507936508,0.5397708886156236
S_abl,2,acq,8,35.19345238095239,76.64186507936508,0.45919357970357916
S_abl,2,acq,10,32.767857142857146,76.64186507936508,0.42754514270920985
S_abl,2,acq,12,31.04166666666667,76.64186507936508,0.40502232865186727
S_abl,2,ext,1,31.16071428571429,76.64186507936508,0.4065756261730633
S_abl,2,ext,2,50.65476190476191,76.64186507936508,0.6609280952689147
S_abl,2,ext,3,61.830357142857146,76.64186507936508,0.8067439000711929
S_abl,2,ext,4,67.41071428571429,76.64186507936508,0.8795547213772572
S_abl,2,ext,5,70.61011904761905,76.64186507936508,0.9212995922594007
S_abl,2,ext,6,71.41369047619048,76.64186507936508,0.9317843505274741
S_abl,2,ext,7,74.12202380952381,76.64186507936508,0.9671218691346839
S_abl,2,ext,8,74.6279761904762,76.64186507936508,0.9737233835997672
S_abl,3,baseline,0,76.45833333333334,76.28472222222223,1.0022758306781976
S_abl,3,baseline,1,74.3154761904762,76.28472222222223,0.9741855777358737
S_abl,3,baseline,2,78.08035714285715,76.28472222222223,1.023538591585929
S_abl,3,acq,1,69.0029761904762,76.28472222222223,0.9045451589830289
S_abl,3,acq,2,60.580357142857146,76.28472222222223,0.7941348592236166
S_abl,3,acq,3,52.1875,76.28472222222223,0.6841147018661811
S_abl,3,acq,4,47.99107142857143,76.28472222222223,0.6291046231874634
S_abl,3,acq,6,40.11904761904762,76.28472222222223,0.5259119578646205
S_abl,3,acq,8,35.61011904761905,76.28472222222223,0.46680538396514726
S_abl,3,acq,10,32.4702380952381,76.28472222222223,0.42564536055660324
S_abl,3,acq,12,30.625000000000004,76.28472222222223,0.40145653163404643
S_abl,3,ext,1,31.71130952380953,76.28472222222223,0.4156967293061968
S_abl,3,ext,2,50.22321428571429,76.28472222222223,0.6583653033357175
S_abl,3,ext,3,62.514880952380956,76.28472222222223,0.8194941153521035
S_abl,3,ext,4,64.85119047619048,76.28472222222223,0.8501202939072762
S_abl,3,ext,5,71.77083333333334,76.28472222222223,0.9408284023668639
S_abl,3,ext,6,72.4404761904762,76.28472222222223,0.9496066064113402
S_abl,3,ext,7,74.16666666666667,76.28472222222223,0.9722348657259899
S_abl,3,ext,8,75.44642857142857,76.28472222222223,0.9890109890109889
